No.,No. Rujukan,No. Pendaftaran MAL,Nama Produk, Pemegang,Pengilang,Tempoh Pendaftaran,nan,Catatan
449,201711291140T,MAL18056044T,Waist Tonic: Cap Sinaran Matahari Liquid,BESFOMEC INDUSTRIES SDN. BHD.,BESFOMEC INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
450,201801151352N,MAL18056140NC,Guardian Vitamin E 400IU Softgels,GUARDIAN HEALTH AND BEAUTY SDN. BHD.,GMP PHARMACEUTICALS LTD(NEW ZEALAND),23/5/2018,23/5/2023,New Registration Approval
451,201712181207T,MAL18056112T,Gui Fei Brand Ba Feng Wan with Ginseng and Cordyceps Plus Pill,BESFOMEC INDUSTRIES SDN. BHD.,BESFOMEC INDUSTRIES SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
452,201711131054T,MAL18056048T,DZ GREEN COFFEE PLUS CHEWABLE TABLET,DZ TRADE (MALAYSIA) SDN. BHD.,DZ TRADE (MALAYSIA) SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
453,201711271127H X,MAL18056085HX,SN-NYSTATIN 4.4%W/W PREMIX,Shennong Animal Health (Malaysia) Sdn. Bhd.,Shennong Animal Health (Malaysia) Sdn. Bhd.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
454,201711141052T,MAL18056054TC,Oleaf32 Capsule,Md Healthcare Sdn Bhd,YANLING NATURAL HYGIENE SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
455,201712081159N,MAL18056015N,reliv lunarich X capsule,Reliv International Sdn Bhd,"Reliv International, Inc.(UNITED STATES)",2/5/2018,2/5/2023,New Registration Approval
456,201711291141T,MAL18056109T,BONLIFE BLACK CUMIN SEED OIL 500MG SOFTGEL,ORIENT LABORATORIES SDN. BHD.,ORIENT LABORATORIES SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
457,201711271130T,MAL18056127TC,Raw Lab Insutec Capsule,Rhino Pharmaceutical,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
458,201712201243T,MAL18056060T,BIOTROPICS NU PREP WANITA CAPSULE,PHYTES BIOTEK SDN. BHD.,PHYTES BIOTEK SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
459,201712181202T,MAL18056131T,CHUANG SONG ZONG?Ban Xia Bai Zhu Tian Ma Tang Concentrated Granules,TIAN I BIOTECH INTERNATIONAL SDN BHD,"Tian-I Pharmaceutical Co., Ltd.(TAIWAN)",23/5/2018,23/5/2023,New Registration Approval
460,201711081039T,MAL18056129T,ACTIVZ LIVOCare Capsule,SYARIKAT WEN KEN DRUG SDN. BHD.,SYARIKAT WEN KEN DRUG SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
461,201711151064T,MAL18056025TC,HMS CONCEPT C- NATTOLIN Capsule,BIO-SCIENCE MARKETING SDN. BHD.,GN NEUTRICEUTICALS SDN BHD(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
462,201711181073T,MAL18056118TC,AUDESTEE ANJELIETA POWDER,KEYINDOM BERHAD,RPM HERBS INDUSTRIES(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
463,201711231090N,MAL18056022NC,Well Series CalciMagD Chewable Tablet,Friendship Kindness Care Sdn Bhd,"NHK Laboratories, Inc.(UNITED STATES)",2/5/2018,2/5/2023,New Registration Approval
464,201711211080T,MAL18056133TC,GAHERBS MINYAK BERANGIN (AROMA STRAWBERRY),GAH GLOBAL ENTERPRISE,SARI TANI DESA SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
465,201712181217T,MAL18056064TC,Vitpro GINKGO BACOPA PLUS Tablet,World Medicare Supplies Sdn Bhd,YANLING NATURAL HYGIENE SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
466,201711281134T,MAL18056050TC,PL PUERARIA MIRIFICA PLUS CAPSULE,PINKLADY MARKETING,DZ TRADE (MALAYSIA) SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
467,201712181220H A,MAL18056077HAC,Metatoltra 2.5% w/v Oral Solution,Nutri Pharmax Sdn Bhd,Nam Pharma Sdn. Bhd.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
468,201711231088T,MAL18056115T,SHENLU LU DOU PLUS CAPSULE,Shenlu Biotech Sdn Bhd,Shenlu Biotech Sdn Bhd(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
469,201711251104T,MAL18056041TC,GRIP'99 CAPSULE,RAHSIA PUSAKA MELAYU,RPM HERBS INDUSTRIES(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
470,201711271116T,MAL18056137TC,Miemaz Kapsul Habbatus Sauda 350mg,TRADIPHARMA TRADE,SERI MH UMMI SDN BHD(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
471,201712191227N,MAL18056147NC,OPTIVIT CAPSULE,QUANTUM UPSTREAM SDN. BHD.,YANLING NATURAL HYGIENE SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
472,201712191228T,MAL18056057TC,W.I.L.L Tongkat Ali 250mg Capsule,PO CHE TONG MARKETING,G&G Century (M) Sdn Bhd(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
473,201712061149T,MAL18056031T,Nabisar GAMMO Cream,CAMBRIDGE BIOTEK SDN BHD,CAMBRIDGE BIOTEK SDN BHD(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
474,201712061150T,MAL18056032T,Nabisar GARCINIA PLUS Powder,CAMBRIDGE BIOTEK SDN BHD,CAMBRIDGE BIOTEK SDN BHD(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
475,201712061153T,MAL18056056TC,SOL MORINGA 400MG CAPSULE,SOL MORINGA SDN BHD,ERA HERBAL PRODUCTS SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
476,201801081296H A,MAL18056076HAC,PF TIAMULIN PREMIX 10% W/W POWDER,Panfast Marketing (m) Sdn Bhd,Shennong Animal Health (Malaysia) Sdn. Bhd.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
477,201801220019N,MAL18056019NC,SugardollByNN NAC PLUS TABLET (CHOCOLATE FLAVOUR),SUGARDOLLBYNN. ENTERPRISE,I MEDIKEL PHARMACEUTICAL SDN BHD(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
478,201712171190T,MAL18056028TC,PAK BOH RECIPE Combination Of Two Tongkat Ali With Tongkat Haji Samad Capsule For Men,PAK BOH RECIPE,THE MITOMASA SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
479,17110002AE,MAL18056073AE,LOPERAX CAPSULE 2MG,XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD,XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
480,201712191239T,MAL18056136T,E-PLUS LABISIA PUMILA 100mg EXTRACT TABLET,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
481,201801260042T,MAL18056120TC,HUACHI ZHI YANG CAPSULE,PEMBEKALAN UBAT HUATHAI SDN. BHD.,WAN YEEN TRADING SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
482,201712121177T,MAL18056116TC,bioVERSA Femenox Capsule,Savan Biologic (M) Sdn Bhd,Dong Foong Manufacturing Sdn Bhd(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
483,201712211264N,MAL18056149NC,Lifesenze Flora Biotic Advance Capsule,HL PHARMACEUTICALS SDN. BHD.,MRT SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
484,201712211258T,MAL18056125T,Oraz African Mango Plus Capsule,SERI MH UMMI SDN BHD,SERI MH UMMI SDN BHD(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
485,201712191225T,MAL18056059T,Double Red Birds Brand Winho Ivy Leaf 17.5mg/5ml Syrup,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
486,201801081292N,MAL18056013N,rbc life COLLAGEN PLUS CAPSULE,RBC LIFE MALAYSIA SDN. BHD.,"RBC Life Sciences, Inc.(UNITED STATES)",2/5/2018,2/5/2023,New Registration Approval
487,201712191226T,MAL18056029TC,Al-Hikmah C-Pintrass Tablet 170mg,ANJUNG HIKMAH SDN. BHD.,SARI TANI DESA SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
488,201801091310T,MAL18056124TC,Raw Lab Disolac Capsule,Rhino Pharmaceutical,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
489,201801081297N,MAL18056023NC,NU-trend NUflex Powder,AQURATE INGREDIENTS INTL (M) SDN. BHD.,MRT SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
490,201801081290N,MAL18056016N,Vitalita Daily Multivitamin Tablet,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
491,201801091309T,MAL18056119T,SISTAR THE FIFTH CODE CAPSULE,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
492,201712201242T,MAL18056024TC,DOC.A Virgin Coconut Oil 500MG Softgel,BELLADONNA BEAUTY SDN BHD,HIGH VALLEY CONTRACT MANUFACTURING (GMP) SDN BHD(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
493,201801180006N,MAL18056145N,apotec CoQ10 Plus Capsule,Bioalpha International Sdn. Bhd.,Bioalpha International Sdn. Bhd.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
494,201801111333N,MAL18056005N,NHF LactoSoy Powder,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
495,201801111334N,MAL18056007N,NHF Probiotics + NAC Powder,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
496,201801111336N,MAL18056008N,NHF Kid`s Probiotic + Vitamin C Powder,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
497,201801111338N,MAL18056009N,NHF Kid`s Probiotics + Prebiotic Powder,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
498,201801161359N,MAL18056002NR,21ST CENTURY LUTEIN 20MG CAPSULES,21ST CENTURY PRODUCTS SDN. BHD.,21ST CENTURY HEALTHCARE INC(UNITED STATES),2/5/2018,2/5/2023,New Registration Approval
499,201801101307T,MAL18056108TC,RAYHANAH ZAITUN GOLD 500MG SOFTGEL,RAYYAN SALSABILA ENTERPRISE,Halagel Plant (M) Sdn. Bhd.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
500,201801220024T,MAL18056102TC,MAMADIL Pumila Plus Powder,MAMADIL SLIM & BEAUTY SDN. BHD.,I MEDIKEL PHARMACEUTICAL SDN BHD(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
501,201801230029N,MAL18056003NC,ProGIGuard Forte Vegetable Capsule,CAMBERT(M) SDN BHD,WHITE HERON PHARMACEUTICAL SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
502,201801111344N,MAL18056011N,NHF Bio Collagen Peptide Plus Powder,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
503,201801111348N,MAL18056010N,NHF BIOVISEN Powder,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
504,201802120077X,MAL18056088XC,Neobun Classic Plaster,JWP Medical Sdn. Bhd.,PT INDO ABADI SARIMAKMUR(INDONESI A),31/5/2018,31/5/2023,New Registration Approval
505,201801161358N,MAL18056143NCR,NATURERICH FISH OIL + VIT D3 SOFTGELS,PRO NUTRITION (MALAYSIA) SDN. BHD.,CAPTEK SOFTGEL INTERNATIONAL INC(UNITED STATES),23/5/2018,23/5/2023,New Registration Approval
506,201801111323T,MAL18056099TC,HB' Kingu Capsule,Metro Signature Sdn Bhd,Reishilab Sdn Bhd(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
507,201804100327X,MAL18056086XZ,UNIDINE Povidone Iodine Solution 10% w/v,KCK PHARMACEUTICAL INDUSTRIES SDN. BHD.,KCK PHARMACEUTICAL INDUSTRIES SDN. BHD.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
508,201801111351T,MAL18056027TC,DZ Green Tea Plus Capsule 500mg,FEREENA BEAUTY CARE,DZ TRADE (MALAYSIA) SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
509,201801091314T,MAL18056036TC,ALMAA NM Powder 3g,VM ALMAA HERBAL AND HEALTH CARE SDN BHD,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
510,201801180005T,MAL18056106T,apotec Gamat 240mg Capsule,Bioalpha International Sdn. Bhd.,Bioalpha International Sdn. Bhd.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
511,201801220017T,MAL18056058TC,KOHAZA GUM ARABIC 1g/g POWDER,FARMASI TAIPING,DZ TRADE (MALAYSIA) SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
512,201801161361N,MAL18056146NCR,N'ZONE OmaGold Softgel,BIO-SCIENCE MARKETING SDN. BHD.,VIVA PHARMACEUTICAL INC.(CANADA),23/5/2018,23/5/2023,New Registration Approval
513,201801250040H A,MAL18056075HAC,Metaflor 20% w/v Oral Solution,Nutri Pharmax Sdn Bhd,Nam Pharma Sdn. Bhd.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
514,201801081281T E,MAL18056061TCE,S11 Kacip Fatimah Plus Capsules,CONCORD TRADING SDN. BHD.,FARMINA BIO PLUS INDUSTRIES & CONSULTANTS SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
515,201802120076N,MAL18056018N,LANG bragman ENZYLASE Powder,OMEGA HEALTH PRODUCTS SDN BHD,OMEGA HEALTH PRODUCTS SDN BHD(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
516,201803010139T,MAL18056110TC,CGU HABBATUS SAUDA KAPSUL 400MG,CGU HERBS RESOURCES,RPM HERBS INDUSTRIES(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
517,201803010138T,MAL18056063TC,DEWI SOLLY KAPSUL JAMU DEWI SERI 400MG,DEWI SOLLY HEALTH & BEAUTY,RPM HERBS INDUSTRIES(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
518,201802130089X,MAL18056087X,Minyak Angin Safe Care,KARA MARKETING (M) SDN. BHD.,PT Surabaya Indah Permai(INDONESIA),31/5/2018,31/5/2023,New Registration Approval
519,201802270124N,MAL18056021NC,DZ R-LITE CHEWABLE TABLET,DZ TRADE (MALAYSIA) SDN. BHD.,DZR PHARMA MANUFACTURE SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
520,201803110181N,MAL18056148NC,Kieliz Kiddos Tab Chewable Tablet,DRLIZ BEAUTY (M) SDN BHD,DZR PHARMA MANUFACTURE SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
521,201803170202N,MAL18056006N,NHF B-Complex + Minerals Capsule,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
522,201803170204N,MAL18056138NCR,Excel Herbal Krill Oil 500mg Softgel,EXCEL HERBAL INDUSTRIES SDN. BHD.,"Uni-Caps, LLC(UNITED STATES)",23/5/2018,23/5/2023,New Registration Approval
523,201804160340H A,MAL18056074HAC,PF DICLAZURIL PREMIX 0.5% W/W POWDER,Panfast Marketing (m) Sdn Bhd,Shennong Animal Health (Malaysia) Sdn. Bhd.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
524,201803220236N,MAL18056012N,NHF Probio+ Powder,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
546,20161107160X,MAL18056165XZ,DIALISAN DP-4 with 2.5% Glucose Peritoneal Dialysis Solution,Sun Healthcare (m) Sdn Bhd,PT Sanbe Farma(INDONESIA),31/5/2018,31/5/2023,New Registration Approval
547,201510112015A,MAL18056162AZ,Dasselta 5 mg film- coated tablets,PAHANG PHARMACY SDN. BHD.,"KRKA, d.d., Novo mesto (SLOVENIA)",31/5/2018,31/5/2023,New Registration Approval
548,201512090001A,MAL18056173ACZ,Meropenem Kabi 500mg powder for solution for injection or infusion,FRESENIUS KABI MALAYSIA SDN. BHD,Facta Farmaceutici S.p.A (ITALY),31/5/2018,31/5/2023,New Registration Approval
549,201512092012A,MAL18056172ACZ,Meropenem Kabi 1g powder for solution for injection or infusion,FRESENIUS KABI MALAYSIA SDN. BHD,Facta Farmaceutici S.p.A (ITALY),31/5/2018,31/5/2023,New Registration Approval
550,201603312013A,MAL18056171AZ,TREKAL POWDER FOR INJECTION SOLUTION FOR INTRAVENOUS INFUSION 100 MG,Redhacare Sdn. Bhd.,Eriochem S.A (ARGENTINA),31/5/2018,31/5/2023,New Registration Approval
551,201603312014A,MAL18056170AZ,TREKAL POWDER FOR INJECTION SOLUTION FOR INTRAVENOUS INFUSION 500 MG,Redhacare Sdn. Bhd.,Eriochem S.A (ARGENTINA),31/5/2018,31/5/2023,New Registration Approval
552,201604142013A,MAL18056169AZ,HEAMIC-T (Tranexamic Acid Injection 100mg/mL),UNIMED SDN BHD,Gland Pharma Limited (INDIA),31/5/2018,31/5/2023,New Registration Approval
553,201706280477A,MAL18056168ARZ,Xnepri 50mg Film- coated Tablets,ALCON LABORATORIES (MALAYSIA) SDN. BHD.,NOVARTIS SINGAPORE PHARMACEUTICAL MANUFACTURING PTD. LTD. (SINGAPORE),31/5/2018,31/5/2023,New Registration Approval
554,201706280478A,MAL18056167ARZ,Xnepri 100mg Film- coated Tablets,ALCON LABORATORIES (MALAYSIA) SDN. BHD.,NOVARTIS SINGAPORE PHARMACEUTICAL MANUFACTURING PTD. LTD. (SINGAPORE),31/5/2018,31/5/2023,New Registration Approval
555,201706280479A,MAL18056166ARZ,Xnepri 200mg Film- coated Tablets,ALCON LABORATORIES (MALAYSIA) SDN. BHD.,NOVARTIS SINGAPORE PHARMACEUTICAL MANUFACTURING PTD. LTD. (SINGAPORE),31/5/2018,31/5/2023,New Registration Approval
556,20161107161X,MAL18056174XZ,DIALISAN DP-4 with 1.5% Glucose Peritoneal Dialysis Solution,Sun Healthcare (m) Sdn Bhd,PT Sanbe Farma (INDONESIA),31/5/2018,31/5/2023,New Registration Approval
557,201505130001H A,MAL18056175HA,Convenia 80mg/ml Powder For Solution For Injection For Dogs and Cats,Zoetis Malaysia Sdn. Bhd.,Zoetis Inc. (UNITED STATES),31/5/2018,31/5/2023,New Registration Approval
558,201502260001A,MAL18056176AZ,METREX (Pemetrexed Lyophilised Powder for Injection 500mg/Vial),UNIMED SDN BHD,M/s Gland Pharma Limited (INDIA),31/5/2018,31/5/2023,New Registration Approval
559,201507282014A,MAL18056178AZ,TELDAY TABLETS 80 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,TORRENT PHARMACEUTICAL LIMITED (INDIA),31/5/2018,31/5/2023,New Registration Approval
560,201507282015A,MAL18056177AZ,TELDAY TABLETS 40 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,TORRENT PHARMACEUTICAL LIMITED (INDIA),31/5/2018,31/5/2023,New Registration Approval
561,201510072013A,MAL18056179AZ,LETERO (Letrozole Tablets 2.5 mg),PHARMAMODE (M) SDN BHD,Hetero Labs Limited (INDIA),31/5/2018,31/5/2023,New Registration Approval
562,201512230001A,MAL18056181AZ,DYNA MELOXICAM TABLET 7.5MG,DYNAPHARM (M) SDN BHD,DYNAPHARM (M) SDN BHD (MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
563,201512232012A,MAL18056180AZ,DYCOSIC TABLET,DYNAPHARM (M) SDN BHD,DYNAPHARM (M) SDN BHD (MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
564,201802280130A,MAL18056182AE,WINDERM CREAM 1%W/W,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD. (MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
264,201704050145X,MAL18046132X,NW CALAMINE CREAM WITH PHENOL,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),Natural Wellness Industries Sdn. Bhd.(Milik Penuh Nutrivention Sdn. Bhd)(MALAYSIA),,,New Registration Approval
265,201703220105X,MAL18046133X C,Deep Heat Sports Pain Relief Spray,ROHTO- MENTHOLATU M (M) SDN. BHD.,Colep Laupheim GmbH & Co. KG(GERMANY),,,New Registration Approval
266,201702240037X,MAL18046134X,NW METHYL SALICYLATE 25%W/W OINTMENT,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD)(MALAYSIA),,,New Registration Approval
267,201702240038X,MAL18046130X,NW METHYL SALICYLATE 50%W/W OINTMENT,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD)(MALAYSIA),,,New Registration Approval
268,201709210829 N,MAL18046027N Z,VICEE VITAMIN C 500MG LOZENGES ORANGE FLAVOUR,"THE ZYFAS MEDICAL CO.,",PT DARYA - VARIA LABORATORIA TBK(INDONESIA),,,New Registration Approval
269,201707120532T,MAL18046100T,"FHUTA CAP MANGGIS HERBAL TEA FOR COUGH,COLD AND FEVER",FHUTA PHARMACEUTI CAL SDN.BHD,FHUTA PHARMACEUTIC AL SDN.BHD(MALAY SIA),,,New Registration Approval
270,201707120533T,MAL18046073T,"FHUTA HERBAL TEA FOR COUGH,COLD AND FEVER",FHUTA PHARMACEUTI CAL SDN.BHD,FHUTA PHARMACEUTIC AL SDN.BHD(MALAY SIA),,,New Registration Approval
271,201707110528T,MAL18046105T CR,HERBS OF GOLD FENUGREEK PLUS TABLET,PHARMADIREC T SDN. BHD.,Lipa Pharmaceuticals Limited(AUSTRAL IA),,,New Registration Approval
272,201706090411X,MAL18046129X Z,NW CALAMINE LOTION WITH 0.25%w/w MENTHOL,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD)(MALAYSIA),,,New Registration Approval
273,201708230703X,MAL18046125X,UMETGESIC Ointment,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD(MALAYSIA),,,New Registration Approval
274,201706090412X,MAL18046124X Z,NW CHLORHEXIDINE GLUCONATE 5%W/V TOPICAL SOLUTION,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD)(MALAYSIA),,,New Registration Approval
275,201706090413X,MAL18046126X,NW BENZALKONIUM AND CETRIMIDE CREAM,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD)(MALAYSIA),,,New Registration Approval
276,201707100524T,MAL18046071T,Ho Yan Hor Everyday Calming Tea,HOVID BERHAD,HOVID BERHAD(MALAYS IA),,,New Registration Approval
277,201709070766T,MAL18046087T C,Shine Essucare Capsule,Y.S.P. INDUSTRIES (M) SDN BHD,ALPHA ACTIVE INDUSTRIES SDN BHD(MALAYSIA),,,New Registration Approval
278,201708220698X,MAL18046127X Z,Acetamol Syrup 120mg/5ml,Noripharma Sdn. Bhd.,Noripharma Sdn. Bhd.(MALAYSIA),,,New Registration Approval
279,201707270593T,MAL18046086T C,KORDEL'S BIO- CHARANTIA 150MG VEGETABLE CAPSULES,MB NUTRACEUTICA LS SDN BHD,YANLING NATURAL HYGIENE SDN. BHD.(MALAYSIA),,,New Registration Approval
280,201708040624T,MAL18046074T C,TIMING YIN CHIAO SAN EXTRACT GRANULES,Timing Herbs Sdn Bhd,WAN YEEN TRADING SDN. BHD.(MALAYSIA),,,New Registration Approval
281,201709060750T,MAL18046057T,“CHUANG SONG ZONG” Wu Ling San Concentrated Granules,GREEN HERB BIOTECH SDN. BHD.,"CHUANG SONG ZONG PHARMACEUTIC AL CO., LTD(TAIWAN)",,,New Registration Approval
282,201708110667 N,MAL18046043N,BluForest GRAPE BURST PLUS VITAMIN C 1000mg Tablet,Live-Well Nutraceuticals Sdn. Bhd.,PAHANG PHARMACY SDN. BHD.(MALAYSIA),,,New Registration Approval
283,201709060751T,MAL18046109T,“CHUANG SONG ZONG” Wen Jing Tang Concentrated Granules,GREEN HERB BIOTECH SDN. BHD.,"CHUANG SONG ZONG PHARMACEUTIC AL CO., LTD(TAIWAN)",,,New Registration Approval
284,201709060753T,MAL18046098T,"""TIMING"" NEW HSIAO CHING LUNG TANG EXTRACT GRANULES",Timing Herbs Sdn Bhd,WAN YEEN TRADING SDN. BHD.(MALAYSIA),,,New Registration Approval
295,201709200820T,MAL18046062T C,KINOHIMITSU TEADOX PEPPERMINT+ TEA,K BEAUTY & WELLNESS (M) SDN. BHD.,QD HERBS SDN. BHD.(MALAYSIA),,,New Registration Approval
296,201710130894T,MAL18046108T,Yi Shi Yuan Xin Sang Ju Yin Fine Powder,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),,,New Registration Approval
297,201710130895T,MAL18046068T,Yi Shi Yuan Tao Hong Si Wu Fine Powder,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),,,New Registration Approval
298,201710130898T,MAL18046093T,Yi Shi Yuan Yin Qiao Plus Fine Powder,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),,,New Registration Approval
299,201710130899T,MAL18046097T,Yi Shi Yuan Chai Hu Shu Gan Fine Powder,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),,,New Registration Approval
300,201710190930T,MAL18046092T,Yi Shi Yuan Mai Dong Gan Zao Plus Fine Powder,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),,,New Registration Approval
